03:20:57.1762002	 From:192.168.166.54:41796 To:127.0.0.1:43312	 12-00-38-00-00-00-34-34-00-02-07-53-00-74-00-59-01-65-00-64-00-61-00-2C-00-20-00-31-00-39-00-2E-00-20-00-42-00-59-01-65-00-7A-00-65-00-6E-00-2E-00-20-00-32-00-30-00-32-00-35-00
03:21:01.5379510	 From:192.168.166.54:41796 To:127.0.0.1:43312	 05-00-08-00-00-05-14-00-3D-00-E5
03:21:01.5379510	 From:192.168.166.54:41796 To:127.0.0.1:43309	 05-00-08-00-00-05-14-00-3D-00-E5
03:21:02.4598521	 From:192.168.166.54:41796 To:127.0.0.1:43309	 05-00-0C-00-00-09-14-04-02-07-AE-04-03-82-8E
03:21:02.4598521	 From:192.168.166.54:41796 To:127.0.0.1:43312	 05-00-0C-00-00-09-14-04-02-07-AE-04-03-82-8E
03:21:02.7894088	 From:192.168.166.54:41796 To:127.0.0.1:43312	 05-00-08-00-00-05-14-00-30-FF-F2
03:21:02.7894088	 From:192.168.166.54:41796 To:127.0.0.1:43309	 05-00-08-00-00-05-14-00-30-FF-F2
03:21:02.7907777	 From:192.168.166.54:41796 To:127.0.0.1:43309	 05-00-08-00-00-05-14-00-65-00-06
03:21:02.7907777	 From:192.168.166.54:41796 To:127.0.0.1:43312	 05-00-08-00-00-05-14-00-65-00-06
03:21:05.0703651	 From:192.168.166.54:41796 To:127.0.0.1:43309	 05-00-08-00-00-05-14-00-45-00-DB
03:21:05.0703651	 From:192.168.166.54:41796 To:127.0.0.1:43312	 05-00-08-00-00-05-14-00-45-00-DB
03:21:05.6749444	 from:127.0.0.1:43312 ToSSL:192.168.166.54:41796	 0D-00-02-00-00
03:21:05.6925087	 From:192.168.166.54:41796 To:127.0.0.1:43312	 0E-00-02-00-00
03:21:05.9640975	 From:192.168.166.54:41796 To:127.0.0.1:43312	 05-00-08-00-00-05-14-00-41-00-E4
03:21:05.9640975	 From:192.168.166.54:41796 To:127.0.0.1:43309	 05-00-08-00-00-05-14-00-41-00-E4
03:21:11.7005426	 from:127.0.0.1:43309 ToSSL:192.168.166.54:41796	 0D-00-02-00-00
03:21:11.7266036	 From:192.168.166.54:41796 To:127.0.0.1:43309	 0E-00-02-00-00
03:21:12.4793885	 From:192.168.166.54:41796 To:127.0.0.1:43309	 05-00-0C-00-00-09-14-04-02-05-1E-04-03-82-8E
03:21:12.4793885	 From:192.168.166.54:41796 To:127.0.0.1:43312	 05-00-0C-00-00-09-14-04-02-05-1E-04-03-82-8E
03:21:15.6491912	 From:192.168.166.54:41796 To:127.0.0.1:43312	 05-00-08-00-00-05-14-00-3D-00-E6
03:21:15.6491912	 From:192.168.166.54:41796 To:127.0.0.1:43309	 05-00-08-00-00-05-14-00-3D-00-E6
03:21:16.6562292	 From:192.168.166.54:41796 To:127.0.0.1:43309	 05-00-08-00-00-05-14-00-30-FF-F3
03:21:16.6562292	 From:192.168.166.54:41796 To:127.0.0.1:43309	 05-00-08-00-00-05-14-00-65-00-07
03:21:16.6562292	 From:192.168.166.54:41796 To:127.0.0.1:43312	 05-00-08-00-00-05-14-00-30-FF-F3
03:21:16.6562292	 From:192.168.166.54:41796 To:127.0.0.1:43312	 05-00-08-00-00-05-14-00-65-00-07
03:21:20.6996889	 from:127.0.0.1:43312 ToSSL:192.168.166.54:41796	 0D-00-02-00-00
03:21:20.7179456	 From:192.168.166.54:41796 To:127.0.0.1:43312	 0E-00-02-00-00
03:21:26.2206048	 From:192.168.166.54:41796 To:127.0.0.1:43312	 05-00-08-00-00-05-14-00-39-00-CA
03:21:26.2352767	 From:192.168.166.54:41796 To:127.0.0.1:43309	 05-00-08-00-00-05-14-00-39-00-CA
03:21:26.7322574	 from:127.0.0.1:43309 ToSSL:192.168.166.54:41796	 0D-00-02-00-00
03:21:26.7482682	 From:192.168.166.54:41796 To:127.0.0.1:43309	 0E-00-02-00-00
03:21:27.9936665	 From:192.168.166.54:41796 To:127.0.0.1:43312	 05-00-08-00-00-05-14-00-3B-00-F0
03:21:27.9936665	 From:192.168.166.54:41796 To:127.0.0.1:43309	 05-00-08-00-00-05-14-00-3B-00-F0
03:21:30.5092769	 From:192.168.166.54:41796 To:127.0.0.1:43309	 05-00-08-00-00-05-14-00-30-FF-F4
03:21:30.5092769	 From:192.168.166.54:41796 To:127.0.0.1:43312	 05-00-08-00-00-05-14-00-30-FF-F4
03:21:30.5111482	 From:192.168.166.54:41796 To:127.0.0.1:43312	 05-00-08-00-00-05-14-00-65-00-08
03:21:30.5111482	 From:192.168.166.54:41796 To:127.0.0.1:43309	 05-00-08-00-00-05-14-00-65-00-08
03:21:30.6471628	 From:192.168.166.54:41796 To:127.0.0.1:43312	 05-00-08-00-00-05-14-00-3E-00-E6
03:21:30.6471628	 From:192.168.166.54:41796 To:127.0.0.1:43309	 05-00-08-00-00-05-14-00-3E-00-E6
03:21:32.5199604	 From:192.168.166.54:41796 To:127.0.0.1:43309	 05-00-0C-00-00-09-14-04-02-07-AE-04-03-82-8E
03:21:32.5199604	 From:192.168.166.54:41796 To:127.0.0.1:43312	 05-00-0C-00-00-09-14-04-02-07-AE-04-03-82-8E
03:21:33.2938145	 From:192.168.166.54:41796 To:127.0.0.1:43309	 05-00-08-00-00-05-14-00-45-00-DA
03:21:33.2938145	 From:192.168.166.54:41796 To:127.0.0.1:43312	 05-00-08-00-00-05-14-00-45-00-DA
03:21:34.1816709	 From:192.168.166.54:41796 To:127.0.0.1:43312	 05-00-08-00-00-05-14-00-41-00-E3
03:21:34.1816709	 From:192.168.166.54:41796 To:127.0.0.1:43309	 05-00-08-00-00-05-14-00-41-00-E3
03:21:35.7324606	 from:127.0.0.1:43312 ToSSL:192.168.166.54:41796	 0D-00-02-00-00
03:21:35.7581704	 From:192.168.166.54:41796 To:127.0.0.1:43312	 0E-00-02-00-00
03:21:40.3532543	 From:192.168.166.54:41796 To:127.0.0.1:43309	 05-00-08-00-00-05-14-00-39-00-C9
03:21:40.3532543	 From:192.168.166.54:41796 To:127.0.0.1:43312	 05-00-08-00-00-05-14-00-39-00-C9
03:21:41.7325170	 from:127.0.0.1:43309 ToSSL:192.168.166.54:41796	 0D-00-02-00-00
03:21:41.7516842	 From:192.168.166.54:41796 To:127.0.0.1:43309	 0E-00-02-00-00
03:21:42.5403015	 From:192.168.166.54:41796 To:127.0.0.1:43312	 05-00-0C-00-00-09-14-04-02-05-1E-04-03-82-8E
03:21:42.5414536	 From:192.168.166.54:41796 To:127.0.0.1:43309	 05-00-0C-00-00-09-14-04-02-05-1E-04-03-82-8E
03:21:44.7663630	 From:192.168.166.54:41796 To:127.0.0.1:43309	 05-00-08-00-00-05-14-00-3E-00-E7
03:21:44.7693573	 From:192.168.166.54:41796 To:127.0.0.1:43312	 05-00-08-00-00-05-14-00-3E-00-E7
03:21:47.4136199	 From:192.168.166.54:41796 To:127.0.0.1:43312	 05-00-08-00-00-05-14-00-45-00-DB
03:21:47.4146454	 From:192.168.166.54:41796 To:127.0.0.1:43309	 05-00-08-00-00-05-14-00-45-00-DB
03:21:50.7325881	 from:127.0.0.1:43312 ToSSL:192.168.166.54:41796	 0D-00-02-00-00
03:21:50.7572829	 From:192.168.166.54:41796 To:127.0.0.1:43312	 0E-00-02-00-00
03:21:56.2252411	 From:192.168.166.54:41796 To:127.0.0.1:43309	 05-00-08-00-00-05-14-00-3B-00-EF
03:21:56.2252411	 From:192.168.166.54:41796 To:127.0.0.1:43312	 05-00-08-00-00-05-14-00-3B-00-EF
